index,ID,label,tanggal,judul,narasi,nama file gambar,text,clean
0,71,1,2020-08-17 00:00:00,Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,71.jpg,pemakaian masker menyebabkan penyakit legionnaires a caller to a radio talk show recently shared that his wife was hospitalized n told she had covid n only a couple of days left to live . a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . turns out it was legionnaires disease from the moisture n bacteria in her mask . she was given antibiotics n within two days was better . what if these ‘spikes’ in covid are really something else due to ‘mask induced infections’ .??🤔🤔🤔,pakai masker sebab sakit legionnaires caller radio talk recently shared wife hospitalized told covid couple days left live doctor friend suggested tested legionnaires disease wore mask day day long turns legionnaires disease moisture bacteria mask given antibiotics days better spikes covid mask induced infections thinking face thinking face thinking face
1,461,1,2020-07-17 00:00:00,Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,461.png,instruksi gubernur jateng tentang penilangan bagi yg tidak bermasker di muka umum rp.150.000 menggunakan e-tilang via apps pikobar yth.seluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid 19 jateng sbb:,instruksi gubernur jateng tilang masker muka rp 150000 tilang apps pikobar hormat anggota grup sesuai instruksi gubernur jawa hasil rapat tim gugus tugas covid 19 jateng sbb
2,495,1,2020-07-13 00:00:00,Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",495.png,"foto jim rohn: jokowi adalah presiden terbaik dlm sejarah bangsa indonesia jokowi adalah presiden terbaik dlm sejarah bangsa indonesia. jim rohn, motivator terbaik dunia",foto jim rohn jokowi presiden baik sejarah bangsa indonesia jokowi presiden baik sejarah bangsa indonesia jim rohn motivator baik dunia
3,550,1,2020-07-08 00:00:00,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",550.png,"ini bukan politik, tapi kenyataan pak jokowi berhasil memulangkan 11,000 triliun uang negara dari swiss. maaf mas2 dan mbak2, ini bukan politik, tapi kenyataan pak jokowi berhasil memulangkan 11,000 triliun uang negara dari swiss. 11ribu triliun siap di bawa balik ke indonesia.ruu treaty on mutual legal assistance in criminal matters between the republic of indonesia and the swiss confederation (mla ri-swiss) resmi disahkan dpr ri tanggal 3 juli 2020. dengan demikian proses konstitusi menarik dana di swiss sudah selesai. perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke indonesia. tanpa anda nyinyir, rasanya sulit ruu itu bisa disahkan oleh dpr. pemilik 84 rekening gendut siap siap gigit jari . mungkin tekanan ke pak jokowi makin kencang. ini baca beritanya",politik nyata jokowi hasil pulang 11000 triliun uang negara swiss maaf mas mbak politik nyata jokowi hasil pulang 11000 triliun uang negara swiss 11ribu triliun bawa indonesia ruu treaty mutual legal assistance criminal matters republic indonesia swiss confederation mla ri swiss resmi sah dpr ri tanggal juli 2020 proses konstitusi tarik dana swiss selesai juang hadap ex koruptor bersenggama agama terimakasih kadrun nyinyirian uang 11000 triliun indonesia nyinyir sulit ruu sah dpr milik 84 rekening gendut gigit jari tekan jokowi kencang baca berita
4,681,1,2020-06-24 00:00:00,Foto Kadrun kalo lihat foto ini panas dingin,Kadrun kalo lihat foto ini panas dingin . .,681.jpg,foto kadrun kalo lihat foto ini panas dingin kadrun kalo lihat foto ini panas dingin . .,foto kadrun kalo lihat foto panas dingin kadrun kalo lihat foto panas dingin
5,736,1,2020-06-17 00:00:00,event promo smartphone JNE 2020 spesial di bulan juni,"selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO 😍,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",736.png,"event promo smartphone jne 2020 spesial di bulan juni selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone jne 2020 spesial di bulan juni ini dan saya mesan smartphone vivo v15 pro cuman seharga rp.900.000-,gak nyangka cuma seharga rp.900.000 aku bisa mendapat hp vivo v15 pro 😍,bagi teman teman fb ku yg penasaran atau mau ikutan inbox aja wa adminnya 0823-7142-9***",event promo smartphone jne 2020 spesial juni selamat siang teman teman fb ku star-struck cuman informasi rezeky gak smiling face smiling eyes kemarin ikut event promo smartphone jne 2020 spesial juni mesan smartphone vivo 15 pro cuman harga rp 900000 gak nyangka harga rp 900000 hp vivo 15 pro smiling face heart-eyes teman teman fb ku penasaran ikut inbox aja wa adminnya 082371429
6,1161,1,2020-05-05 00:00:00,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,1161.png,mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini! lihatlah mereka sudah mempersiapkan diri dengan baik untuk menguasai negri ini!,kuasa negri lihat kuasa negri
7,1597,1,2020-03-24 00:00:00,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,1597.png,foto presiden italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,foto presiden italia menang lahan kubur 700an korban corona italia fasilitas awat sehat canggih gagal kendali corona anggap lelucon presiden menang lahan kubur 700an korban corona 700
8,2098,1,2020-01-09 00:00:00,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet” d tolongin malah d liati aja,2098.jpg,"kapolres timor tengah utara , nusa tenggara timur beri klarifikasi terkait video polisi diamkan korban kecelakaan polisi goblok. bukanya cpet” d tolongin malah d liati aja",kapolres timor utara nusa tenggara timur klarifikasi kait video polisi diam korban celaka polisi goblok buka cpet tolongin liat aja
9,2226,1,2019-12-24 00:00:00,Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa … Seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",2226.png,"video polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan dan ham diam seribu bahasa … seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",video polisi china aniaya wanita uighur leher cekik pake kaki polisi china aniaya wanita uighur leher cekik pake kaki melek tu bilang aniaya ham diam ribu bahasa polisi liat gilir orang biadab
