tanggal,judul,label
"September 25, 2020",Video JENAZAH DI PERLAKUKAN SEPERTI MENGUBURKAN BINATANG,1
"September 25, 2020",Sultan HB X Sebut Positif-Negatif Covid-19 Sama Saja Karena Semua Orang Pasti Meninggal,1
"September 25, 2020",Neem Leaves Can Cure Covid-19,1
"September 25, 2020",Foto Maruf Amin Anak K-Pop Drakor,1
"September 24, 2020",Tweet Donald Trump Bersama Kim Jong Un Berbahasa Indonesia,1
"September 24, 2020",Foto Habib Rizieq Shihab Memakai Serban Berlogo Palu Arit dan Sendal pada Mulutnya,1
"September 24, 2020",Video Ribuan Ikan Datangi Pantai Gaza,1
"September 24, 2020",Foto Inilah wajah dari Firaun Ramses II,1
"September 24, 2020",Breaking car glass with salt and saliva,1
"September 24, 2020",Foto Kader PKS Kampanyekan 2 Anak Cukup 1 Istri Tidak Cukup,1
"September 24, 2020","Adidas Tawarkan 3100 Sepatu Gratis, T-shirt, dan Masker sebagai Perayaan Hari Jadi Adidas",1
"September 24, 2020",Foto heboh di kota lampung tepatnya dimetro berakhir tragis seorang ayah melarang anaknya berhijab,1
"September 24, 2020",Foto Megawati Pidato di Podium Berlogo Palu Arit Didampingi Jokowi,1
"September 23, 2020","Bambang Triatmojo Anak Pak Soehato Buka Bicara, Cendana Membongkar Status Jokowi  Adalah Anak Dari Gembong PKI",1
"September 23, 2020",Foto Ikan Hiu di Tiang Listrik Akibat Badai Laura,1
"September 23, 2020",CEO Netflix Ditangkap Atas Tuduhan Menyimpan dan Membagikan Video Pornografi Anak,1
"September 23, 2020",Hadiah Uang Tunai Program Semarak Lazada 2020,1
"September 23, 2020",Foto Anies Baswedan Masuk Peti Mati,1
"September 23, 2020","Breaking News! Pilkada Serentak Ditunda, Kecuali Solo dan Medan",1
"September 23, 2020",Akun Facebook Bupati Bekasi Meminta Sumbangan Dana Covid-19,1
"September 23, 2020",Informasi Pendaftaran Program Transmigrasi Tahun 2020 di Wilayah Kalteng,1
